"Hostname","IP","Platform","Capabilities","Local Interface","Remote Interface","Version"
"ENCORE-HUB107.encore.ncl.com","10.70.0.101","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet1/1/2","TenGigabitEthernet3/1","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB107.encore.ncl.com","10.70.0.101","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet2/1/2","TenGigabitEthernet3/2","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB512.encore.ncl.com","10.70.0.124","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet2/1/25","TenGigabitEthernet3/2","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB512.encore.ncl.com","10.70.0.124","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet1/2/25","TenGigabitEthernet4/1","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB512.encore.ncl.com","10.70.0.124","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet1/1/25","TenGigabitEthernet3/1","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB512.encore.ncl.com","10.70.0.124","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet2/2/25","TenGigabitEthernet4/2","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB304.encore.ncl.com","10.70.0.110","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet2/2/11","TenGigabitEthernet4/2","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB304.encore.ncl.com","10.70.0.110","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet2/1/11","TenGigabitEthernet3/2","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB304.encore.ncl.com","10.70.0.110","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet1/1/11","TenGigabitEthernet3/1","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB304.encore.ncl.com","10.70.0.110","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet1/2/11","TenGigabitEthernet4/1","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB403.encore.ncl.com","10.70.0.116","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet2/2/17","TenGigabitEthernet4/2","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB403.encore.ncl.com","10.70.0.116","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet1/2/17","TenGigabitEthernet4/1","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB403.encore.ncl.com","10.70.0.116","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet2/1/17","TenGigabitEthernet3/2","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB403.encore.ncl.com","10.70.0.116","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet1/1/17","TenGigabitEthernet3/1","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB607.encore.ncl.com","10.70.0.127","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet2/1/28","TenGigabitEthernet3/2","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB607.encore.ncl.com","10.70.0.127","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet1/2/28","TenGigabitEthernet4/1","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB607.encore.ncl.com","10.70.0.127","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet1/1/28","TenGigabitEthernet3/1","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB607.encore.ncl.com","10.70.0.127","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet2/2/28","TenGigabitEthernet4/2","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB515.encore.ncl.com","10.70.0.125","cisco WS-C4510R+E","Switch IGMP","TenGigabitEthernet1/2/26","TenGigabitEthernet6/1","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB515.encore.ncl.com","10.70.0.125","cisco WS-C4510R+E","Switch IGMP","TenGigabitEthernet2/1/26","TenGigabitEthernet5/2","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB515.encore.ncl.com","10.70.0.125","cisco WS-C4510R+E","Switch IGMP","TenGigabitEthernet2/2/26","TenGigabitEthernet6/2","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB515.encore.ncl.com","10.70.0.125","cisco WS-C4510R+E","Switch IGMP","TenGigabitEthernet1/1/26","TenGigabitEthernet5/1","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB310.encore.ncl.com","10.70.0.113","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet1/2/14","TenGigabitEthernet4/1","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB310.encore.ncl.com","10.70.0.113","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet2/2/14","TenGigabitEthernet4/2","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB310.encore.ncl.com","10.70.0.113","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet1/1/14","TenGigabitEthernet3/1","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB310.encore.ncl.com","10.70.0.113","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet2/1/14","TenGigabitEthernet3/2","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB507.encore.ncl.com","10.70.0.123","cisco WS-C4510R+E","Switch IGMP","TenGigabitEthernet1/2/24","TenGigabitEthernet6/1","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB507.encore.ncl.com","10.70.0.123","cisco WS-C4510R+E","Switch IGMP","TenGigabitEthernet2/1/24","TenGigabitEthernet5/2","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
